product_id,product_name,category,price,supplier_id
1,Product 1,Books,73.45,57
2,Product 2,Books,30.34,84
3,Product 3,Electronics,464.02,71
4,Product 4,Home,226.33,86
5,Product 5,Apparel,291.44,34
6,Product 6,Apparel,78.6,13
7,Product 7,Books,479.42,51
8,Product 8,Sports,446.83,2
9,Product 9,Apparel,130.96,95
10,Product 10,Books,361.34,96
11,Product 11,Electronics,137.97,19
12,Product 12,Sports,495.92,3
13,Product 13,Sports,263.31,29
14,Product 14,Home,103.64,68
15,Product 15,Home,107.9,75
16,Product 16,Electronics,372.95,16
17,Product 17,Home,,60
18,Product 18,Home,362.12,53
19,Product 19,Sports,325.77,32
20,Product 20,Electronics,484.26,24
21,Product 21,Apparel,408.17,95
22,Product 22,Electronics,225.53,19
23,Product 23,Electronics,93.09,90
24,Product 24,Apparel,109.61,83
25,Product 25,Electronics,313.44,36
26,Product 26,Home,314.37,47
27,Product 27,Books,104.53,68
28,Product 28,Apparel,337.83,100
29,Product 29,Sports,182.07,10
30,Product 30,Apparel,276.52,24
31,Product 31,Apparel,479.38,4
32,Product 32,Electronics,328.26,71
33,Product 33,Home,20.37,63
34,Product 34,Electronics,430.71,54
35,Product 35,Apparel,479.9,93
36,Product 36,Home,232.33,66
37,Product 37,Books,175.52,1
38,Product 38,Home,177.38,67
39,Product 39,Apparel,10.37,83
40,Product 40,Apparel,157.28,2
41,Product 41,Apparel,256.19,47
42,Product 42,Apparel,267.84,99
43,Product 43,Electronics,446.41,39
44,Product 44,Sports,89.16,27
45,Product 45,Home,351.85,21
46,Product 46,Home,362.61,73
47,Product 47,Books,279.42,44
48,Product 48,Electronics,473.3,30
49,Product 49,Apparel,430.1,1
50,Product 50,Home,45.84,62
51,Product 51,Electronics,354.7,50
52,Product 52,Electronics,274.63,43
53,Product 53,Sports,296.02,6
54,Product 54,Home,282.0,81
55,Product 55,Apparel,397.68,85
56,Product 56,Sports,320.07,14
57,Product 57,Home,241.12,91
58,Product 58,Sports,285.44,83
59,Product 59,Apparel,289.89,31
60,Product 60,Books,77.57,27
61,Product 61,Books,261.35,95
62,Product 62,Sports,,29
63,Product 63,Sports,115.5,36
64,Product 64,Books,114.42,3
65,Product 65,Books,217.43,64
66,Product 66,Apparel,90.99,79
67,Product 67,Electronics,395.76,84
68,Product 68,Electronics,265.1,68
69,Product 69,Books,250.09,96
70,Product 70,Home,352.74,9
71,Product 71,Sports,266.34,85
72,Product 72,Home,402.73,36
73,Product 73,Sports,390.82,35
74,Product 74,Electronics,78.83,72
75,Product 75,Sports,12.02,1
76,Product 76,Home,284.25,41
77,Product 77,Electronics,47.51,100
78,Product 78,Sports,107.19,40
79,Product 79,Books,188.52,46
80,Product 80,Apparel,458.72,3
81,Product 81,Books,153.56,24
82,Product 82,Home,218.85,11
83,Product 83,Home,359.98,91
84,Product 84,Apparel,202.51,17
85,Product 85,Apparel,40.4,41
86,Product 86,Apparel,17.81,85
87,Product 87,Electronics,345.62,29
88,Product 88,Books,388.52,5
89,Product 89,Books,33.54,77
90,Product 90,Sports,71.13,87
91,Product 91,Home,370.0,35
92,Product 92,Home,,53
93,Product 93,Apparel,64.71,51
94,Product 94,Books,133.0,41
95,Product 95,Electronics,361.01,97
96,Product 96,Books,101.35,51
97,Product 97,Electronics,437.69,41
98,Product 98,Home,23.03,66
99,Product 99,Home,373.01,13
100,Product 100,Electronics,151.3,24
101,Product 101,Electronics,190.82,73
102,Product 102,Apparel,112.46,55
103,Product 103,Home,41.37,19
104,Product 104,Electronics,253.87,80
105,Product 105,Books,289.6,78
106,Product 106,Electronics,153.33,100
107,Product 107,Sports,423.44,92
108,Product 108,Electronics,114.3,30
109,Product 109,Sports,232.16,99
110,Product 110,Books,275.54,16
111,Product 111,Sports,288.0,76
112,Product 112,Apparel,21.05,72
113,Product 113,Apparel,334.05,100
114,Product 114,Electronics,413.08,8
115,Product 115,Home,72.71,33
116,Product 116,Electronics,264.63,24
117,Product 117,Electronics,169.6,16
118,Product 118,Home,161.9,63
119,Product 119,Home,21.98,89
120,Product 120,Books,431.58,25
121,Product 121,Electronics,405.37,100
122,Product 122,Books,296.64,79
123,Product 123,Apparel,156.53,92
124,Product 124,Books,55.06,85
125,Product 125,Electronics,109.41,70
126,Product 126,Books,329.38,59
127,Product 127,Home,295.07,81
128,Product 128,Sports,31.62,51
129,Product 129,Sports,217.47,71
130,Product 130,Electronics,194.21,3
131,Product 131,Home,401.3,39
132,Product 132,Sports,205.14,69
133,Product 133,Electronics,359.27,15
134,Product 134,Sports,352.23,53
135,Product 135,Books,166.28,50
136,Product 136,Books,85.81,14
137,Product 137,Electronics,340.57,84
138,Product 138,Apparel,14.29,62
139,Product 139,Sports,311.07,87
140,Product 140,Electronics,333.4,24
141,Product 141,Apparel,37.18,10
142,Product 142,Home,179.03,87
143,Product 143,Books,493.2,96
144,Product 144,Sports,160.77,43
145,Product 145,Books,,93
146,Product 146,Books,99.46,60
147,Product 147,Apparel,193.17,1
148,Product 148,Apparel,288.91,35
149,Product 149,Electronics,343.44,96
150,Product 150,Books,208.95,26
151,Product 151,Electronics,93.38,42
152,Product 152,Sports,242.56,51
153,Product 153,Apparel,440.27,69
154,Product 154,Home,108.07,81
155,Product 155,Electronics,416.81,42
156,Product 156,Electronics,378.88,25
157,Product 157,Apparel,168.52,31
158,Product 158,Electronics,397.83,23
159,Product 159,Books,144.12,64
160,Product 160,Electronics,398.24,54
161,Product 161,Books,320.38,28
162,Product 162,Electronics,,3
163,Product 163,Apparel,21.91,100
164,Product 164,Apparel,24.32,79
165,Product 165,Sports,7.54,52
166,Product 166,Sports,133.56,29
167,Product 167,Electronics,320.81,78
168,Product 168,Apparel,270.45,62
169,Product 169,Books,270.77,28
170,Product 170,Sports,57.34,76
171,Product 171,Sports,446.54,16
172,Product 172,Books,451.41,13
173,Product 173,Electronics,362.88,94
174,Product 174,Home,128.4,12
175,Product 175,Electronics,151.68,40
176,Product 176,Apparel,454.46,27
177,Product 177,Electronics,147.02,19
178,Product 178,Sports,253.82,79
179,Product 179,Sports,193.12,42
180,Product 180,Apparel,349.73,48
181,Product 181,Apparel,,48
182,Product 182,Electronics,115.59,22
183,Product 183,Home,227.02,55
184,Product 184,Electronics,359.62,49
185,Product 185,Sports,31.13,99
186,Product 186,Electronics,5.26,51
187,Product 187,Apparel,411.21,88
188,Product 188,Books,308.29,37
189,Product 189,Books,50.62,71
190,Product 190,Sports,491.58,23
191,Product 191,Home,201.91,27
192,Product 192,Electronics,334.2,23
193,Product 193,Home,385.49,50
194,Product 194,Books,247.38,33
195,Product 195,Apparel,,93
196,Product 196,Home,471.16,2
197,Product 197,Home,26.08,48
198,Product 198,Sports,372.33,56
199,Product 199,Books,368.87,42
200,Product 200,Books,33.71,17
201,Product 201,Books,204.33,90
202,Product 202,Sports,,67
203,Product 203,Books,434.65,65
204,Product 204,Home,304.46,44
205,Product 205,Sports,38.28,87
206,Product 206,Electronics,,32
207,Product 207,Sports,315.0,99
208,Product 208,Apparel,269.4,22
209,Product 209,Books,91.92,51
210,Product 210,Electronics,437.79,72
211,Product 211,Home,353.28,31
212,Product 212,Books,323.67,32
213,Product 213,Home,,86
214,Product 214,Home,318.96,57
215,Product 215,Books,51.82,8
215,Product 215,Books,51.82,8
216,Product 216,Sports,419.57,40
217,Product 217,Sports,355.48,52
218,Product 218,Apparel,42.27,13
219,Product 219,Sports,472.71,19
220,Product 220,Apparel,220.68,17
221,Product 221,Apparel,376.06,4
222,Product 222,Home,415.75,74
223,Product 223,Books,192.2,65
224,Product 224,Sports,387.12,60
225,Product 225,Home,242.4,31
226,Product 226,Sports,315.89,28
227,Product 227,Electronics,243.29,42
228,Product 228,Sports,463.14,95
229,Product 229,Home,111.28,83
230,Product 230,Books,331.56,90
231,Product 231,Books,233.61,71
232,Product 232,Sports,367.19,46
233,Product 233,Electronics,61.19,32
234,Product 234,Apparel,241.47,53
235,Product 235,Home,213.74,45
236,Product 236,Home,488.61,2
237,Product 237,Books,444.4,61
238,Product 238,Apparel,260.09,45
239,Product 239,Apparel,12.66,56
240,Product 240,Electronics,475.57,95
241,Product 241,Home,435.28,56
242,Product 242,Home,82.04,69
243,Product 243,Sports,113.86,37
244,Product 244,Apparel,199.07,76
245,Product 245,Books,241.28,55
246,Product 246,Home,186.2,97
246,Product 246,Home,186.2,97
247,Product 247,Apparel,438.65,94
248,Product 248,Home,8.19,14
249,Product 249,Home,287.6,19
250,Product 250,Books,288.15,73
251,Product 251,Sports,,29
252,Product 252,Home,479.53,71
253,Product 253,Apparel,239.41,95
