sale_id,customer_id,product_id,quantity,sale_amount,sale_date,region
d1a58c09-cab1-490a-8d6d-25e93a51a30b,258,73,10,214.39,2025-04-28,US
7e8be650-c073-465b-96d6-178195fa0fac,111,146,8,296.23,2025-07-01,EU
3db1b657-61aa-4b40-9ad7-c3386252bfbc,986,115,10,3236.05,2025-01-26,EU
fc68c258-cb2c-4e8e-a718-fe43a4e2eaf1,224,3,4,614.02,2024-07-22,APAC
c483178d-46b5-411e-ae18-af97a1e772c7,939,383,2,408.27,2024-08-13,APAC
25ede8ce-46f1-4cc5-8bf5-ec2e08d05e98,150,146,5,1539.2,2024-12-20,US
a548de42-0732-4391-aef4-01c9e1d93b19,395,413,10,1892.78,2024-12-15,APAC
864db6a5-cb0d-424f-9d8a-1f3da475454d,813,304,1,9.13,2024-05-28,APAC
76534125-bc47-4835-bedf-b693cbe16db6,95,373,6,2637.7,2024-06-07,EU
381de178-d133-4944-96be-1c40f0d35da3,805,196,9,2167.8,2024-06-01,APAC
c1ff0f88-c221-46f4-8560-c1a46075c8ac,962,177,4,722.0,2024-04-05,US
9dfc5ec3-1095-4a24-9048-c1f81577fa4e,356,178,8,2794.32,2024-09-08,US
5027d913-d518-4c61-96c3-d6a819b2b08b,492,241,2,517.65,2024-08-22,EU
8ea27e61-626f-453f-b34c-f7b1bd859556,107,220,9,837.89,2024-11-11,EU
9befa89d-c379-4874-b1f1-eebc0e2dfbea,631,336,7,2145.64,2024-03-21,EU
dec4bceb-d662-48bf-b3a5-5485cf843b15,486,421,1,117.73,2024-05-11,US
1b4102ae-6087-42d9-a0da-2f8bae3c7da8,242,9,10,2971.21,2024-06-10,US
b4bdfd0f-48cb-456a-809b-da43faa198b3,502,491,9,2992.92,2024-05-15,US
32a04e33-bea9-4edb-bc3a-aaf1c12bec87,63,283,4,1240.61,2024-05-27,EU
87213b35-17a6-4685-9779-de59bd2cbab7,839,388,2,456.48,2024-08-28,APAC
7385cb21-0d26-41b2-92fa-62429313ff13,106,424,7,1666.65,2024-07-28,APAC
61203999-9de9-41a6-95c3-b594aa4b92aa,528,71,4,369.68,2024-02-07,EU
2b34bd47-4827-4bcb-83be-5f8fa180347a,781,228,8,1103.77,2024-11-07,APAC
6a275eb2-8d23-4044-bb75-d18a3df63ecf,93,323,3,1125.5,2025-02-10,EU
0a93b2bc-fad1-48cd-9951-4053b96de10f,821,17,10,1627.64,2024-03-22,US
01820f3a-7c28-4e43-939f-f5fd42384ac0,777,52,7,2800.28,2025-06-14,EU
054793b6-889e-4d2d-8ede-e94dce4cd20b,897,492,2,264.19,2024-09-21,US
d34d0b4d-1abf-438a-9ded-c3bc612c7890,463,353,8,1798.69,2024-04-29,APAC
7bc33d6e-a788-4590-ad0c-46f481ae4d91,219,49,3,1394.74,2024-06-15,US
67c3dbc9-c346-45c8-ade1-687e9062b6e3,827,238,5,1164.47,2024-09-07,EU
f77a4f75-b113-459d-83f6-784a4fbaecbb,467,480,5,1287.66,2024-12-10,EU
8883499c-67f9-45bf-a533-542e2e25c9dc,561,28,10,4330.99,2025-06-21,EU
c9984baa-b55b-45be-b430-77932f598397,270,198,7,275.86,2025-02-04,US
2fa888bd-1926-4d25-90b0-afd3258f3d6c,874,477,3,893.14,2024-12-04,APAC
