product_id,product_name,category,price,supplier_id
1,Product 1,Electronics,94.64,72
2,Product 2,Books,255.45,58
3,Product 3,Apparel,143.73,83
4,Product 4,Sports,,19
5,Product 5,Apparel,325.21,47
6,Product 6,Books,340.19,28
6,Product 6,Books,340.19,28
7,Product 7,Sports,,55
8,Product 8,Books,345.83,83
9,Product 9,Apparel,286.72,61
9,Product 9,Apparel,286.72,61
10,Product 10,Books,305.99,82
11,Product 11,Home,471.15,20
12,Product 12,Books,200.55,45
13,Product 13,Electronics,207.43,5
14,Product 14,Home,168.2,29
15,Product 15,Sports,16.37,98
16,Product 16,Books,245.51,56
16,Product 16,Books,245.51,56
17,Product 17,Apparel,448.48,91
18,Product 18,Sports,187.18,62
19,Product 19,Apparel,,1
20,Product 20,Apparel,266.56,89
21,Product 21,Apparel,,76
22,Product 22,Electronics,202.99,2
23,Product 23,Apparel,142.07,87
24,Product 24,Apparel,27.36,10
25,Product 25,Books,104.16,39
26,Product 26,Sports,360.48,74
27,Product 27,Electronics,146.44,13
28,Product 28,Electronics,78.0,48
29,Product 29,Books,377.6,5
30,Product 30,Home,160.67,29
31,Product 31,Sports,48.24,11
32,Product 32,Electronics,236.08,49
33,Product 33,Home,378.41,79
34,Product 34,Sports,8.0,12
35,Product 35,Books,439.77,14
36,Product 36,Books,352.14,98
37,Product 37,Electronics,82.84,47
38,Product 38,Books,398.07,9
39,Product 39,Home,16.29,63
40,Product 40,Books,192.61,65
41,Product 41,Sports,274.99,95
42,Product 42,Sports,234.03,10
43,Product 43,Home,197.06,66
44,Product 44,Sports,184.41,50
45,Product 45,Home,413.86,22
46,Product 46,Electronics,407.55,5
47,Product 47,Home,43.96,34
48,Product 48,Electronics,496.33,86
49,Product 49,Home,376.55,91
50,Product 50,Sports,234.85,9
51,Product 51,Books,341.99,85
52,Product 52,Home,286.74,83
53,Product 53,Apparel,405.65,74
54,Product 54,Apparel,347.49,53
55,Product 55,Electronics,466.68,48
56,Product 56,Electronics,186.92,52
57,Product 57,Electronics,147.99,37
57,Product 57,Electronics,147.99,37
58,Product 58,Home,25.93,90
59,Product 59,Apparel,54.79,24
