supplier_id,supplier_name,contact_email,country
1,Supplier 1,,India
2,Supplier 2,supplier2@vendor.com,India
3,Supplier 3,supplier3@vendor.com,USA
4,Supplier 4,supplier4@vendor.com,India
5,Supplier 5,supplier5@vendor.com,India
6,Supplier 6,supplier6@vendor.com,Germany
7,Supplier 7,supplier7@vendor.com,India
8,Supplier 8,supplier8@vendor.com,India
9,Supplier 9,supplier9@vendor.com,USA
10,Supplier 10,supplier10@vendor.com,Germany
11,Supplier 11,supplier11@vendor.com,India
12,Supplier 12,supplier12@vendor.com,Brazil
13,Supplier 13,supplier13@vendor.com,India
14,Supplier 14,supplier14@vendor.com,Germany
15,Supplier 15,supplier15@vendor.com,Brazil
16,Supplier 16,supplier16@vendor.com,Germany
17,Supplier 17,supplier17@vendor.com,Brazil
18,Supplier 18,supplier18@vendor.com,India
19,Supplier 19,supplier19@vendor.com,India
20,Supplier 20,supplier20@vendor.com,India
21,Supplier 21,supplier21@vendor.com,India
22,Supplier 22,supplier22@vendor.com,USA
23,Supplier 23,supplier23@vendor.com,Germany
24,Supplier 24,supplier24@vendor.com,USA
25,Supplier 25,supplier25@vendor.com,USA
26,Supplier 26,supplier26@vendor.com,India
27,Supplier 27,supplier27@vendor.com,India
28,Supplier 28,supplier28@vendor.com,Germany
29,Supplier 29,supplier29@vendor.com,Brazil
30,Supplier 30,supplier30@vendor.com,China
31,Supplier 31,supplier31@vendor.com,Brazil
32,Supplier 32,supplier32@vendor.com,Germany
33,Supplier 33,supplier33@vendor.com,Germany
34,Supplier 34,supplier34@vendor.com,India
35,Supplier 35,supplier35@vendor.com,USA
36,Supplier 36,supplier36@vendor.com,China
37,Supplier 37,supplier37@vendor.com,India
38,Supplier 38,supplier38@vendor.com,India
39,Supplier 39,supplier39@vendor.com,China
40,Supplier 40,supplier40@vendor.com,Germany
41,Supplier 41,supplier41@vendor.com,Germany
42,Supplier 42,supplier42@vendor.com,China
43,Supplier 43,supplier43@vendor.com,China
44,Supplier 44,supplier44@vendor.com,USA
45,Supplier 45,supplier45@vendor.com,China
46,Supplier 46,supplier46@vendor.com,Brazil
47,Supplier 47,supplier47@vendor.com,India
48,Supplier 48,supplier48@vendor.com,India
49,Supplier 49,supplier49@vendor.com,China
50,Supplier 50,supplier50@vendor.com,Germany
51,Supplier 51,supplier51@vendor.com,Brazil
52,Supplier 52,supplier52@vendor.com,China
53,Supplier 53,supplier53@vendor.com,Brazil
54,Supplier 54,supplier54@vendor.com,USA
55,Supplier 55,supplier55@vendor.com,China
56,Supplier 56,supplier56@vendor.com,India
57,Supplier 57,supplier57@vendor.com,Brazil
58,Supplier 58,supplier58@vendor.com,India
59,Supplier 59,supplier59@vendor.com,USA
60,Supplier 60,supplier60@vendor.com,India
61,Supplier 61,supplier61@vendor.com,Germany
62,Supplier 62,supplier62@vendor.com,India
63,Supplier 63,supplier63@vendor.com,USA
64,Supplier 64,supplier64@vendor.com,Germany
65,Supplier 65,supplier65@vendor.com,Germany
66,Supplier 66,supplier66@vendor.com,Germany
67,Supplier 67,supplier67@vendor.com,Brazil
68,Supplier 68,supplier68@vendor.com,China
69,Supplier 69,supplier69@vendor.com,Germany
70,Supplier 70,supplier70@vendor.com,India
71,Supplier 71,supplier71@vendor.com,India
72,Supplier 72,supplier72@vendor.com,Brazil
73,Supplier 73,supplier73@vendor.com,Brazil
74,Supplier 74,supplier74@vendor.com,Germany
75,Supplier 75,supplier75@vendor.com,Brazil
76,Supplier 76,supplier76@vendor.com,China
77,Supplier 77,supplier77@vendor.com,Germany
78,Supplier 78,supplier78@vendor.com,Germany
79,Supplier 79,supplier79@vendor.com,USA
80,Supplier 80,supplier80@vendor.com,USA
81,Supplier 81,supplier81@vendor.com,Brazil
82,Supplier 82,supplier82@vendor.com,Germany
83,Supplier 83,supplier83@vendor.com,India
84,Supplier 84,supplier84@vendor.com,USA
85,Supplier 85,supplier85@vendor.com,Germany
86,Supplier 86,supplier86@vendor.com,Germany
87,Supplier 87,supplier87@vendor.com,Brazil
88,Supplier 88,,China
89,Supplier 89,supplier89@vendor.com,China
90,Supplier 90,supplier90@vendor.com,Brazil
91,Supplier 91,supplier91@vendor.com,China
92,Supplier 92,supplier92@vendor.com,India
93,Supplier 93,supplier93@vendor.com,Germany
94,Supplier 94,supplier94@vendor.com,Germany
95,Supplier 95,supplier95@vendor.com,Germany
96,Supplier 96,supplier96@vendor.com,India
97,Supplier 97,supplier97@vendor.com,USA
98,Supplier 98,supplier98@vendor.com,Germany
99,Supplier 99,supplier99@vendor.com,USA
100,Supplier 100,supplier100@vendor.com,USA
